Year,January,February,March,April,May,June,July,August,September,October,November,December
1990,11.67,23.60,27.46,28.35,75.23,177.42,269.78,257.99,177.18,81.86,19.58,12.89
1991,11.73,13.75,22.00,26.39,62.54,166.04,236.20,224.69,131.49,66.26,25.17,8.81
1992,16.54,14.65,20.74,22.74,50.68,119.29,214.95,221.15,138.54,57.55,29.16,7.49
1993,13.47,12.94,25.30,26.30,49.37,152.11,256.60,192.67,197.18,83.86,26.62,15.33
1994,16.68,15.84,20.23,33.58,49.37,175.80,316.19,268.50,132.86,81.54,17.38,9.29
1995,16.80,13.72,19.98,26.21,58.81,128.93,276.31,235.44,168.67,72.00,22.67,6.63
1996,15.43,17.94,27.99,27.29,53.05,170.70,266.73,281.49,132.38,79.07,12.58,15.60
1997,12.57,9.04,21.83,30.93,47.70,142.80,255.31,247.73,139.73,52.21,33.57,14.92
1998,10.18,13.55,26.82,31.40,54.63,147.24,263.55,257.65,195.73,105.27,30.96,16.16
1999,11.54,14.47,11.28,21.08,82.15,154.74,240.69,223.98,179.58,114.55,21.27,6.63
2000,10.90,14.10,13.67,32.89,73.87,177.39,267.62,240.88,129.50,57.44,17.58,9.27
2001,9.41,10.24,18.07,34.75,61.71,181.09,259.97,206.99,123.71,104.06,21.73,8.12
2002,11.99,14.46,16.83,34.19,65.61,153.74,137.86,245.10,119.60,69.98,20.27,7.26
2003,10.53,19.99,22.14,33.77,39.48,154.56,271.71,218.03,172.49,98.98,16.26,8.25
2004,15.37,8.49,13.86,51.14,77.66,158.56,246.18,230.94,143.30,79.42,18.93,6.67
2005,16.30,16.78,29.31,39.56,54.84,132.80,314.17,193.39,195.96,114.42,26.85,11.81
2006,10.31,9.57,24.35,34.61,78.75,165.33,274.53,262.35,176.77,57.53,34.10,8.93
2007,7.10,28.06,18.19,39.50,60.26,193.99,288.82,262.16,214.31,67.49,17.02,13.97
2008,15.69,11.04,30.60,27.77,48.38,200.54,254.74,268.33,164.34,57.39,29.04,9.63
2009,15.46,12.05,20.98,27.97,63.10,111.27,282.40,229.36,151.90,68.51,41.83,10.90
2010,10.01,16.94,20.37,42.97,73.01,150.81,313.97,301.73,219.78,87.98,51.48,16.77
2011,9.58,20.00,17.94,42.65,62.20,170.30,274.27,311.09,207.06,50.71,21.06,8.50
2012,18.02,12.18,15.39,49.93,41.86,126.59,287.45,288.99,206.43,73.93,26.60,11.04
2013,11.93,27.07,19.32,30.84,66.76,245.82,303.69,252.21,158.74,126.91,17.70,8.03
2014,17.16,19.82,24.69,23.38,71.26,106.33,278.18,236.14,180.80,67.71,19.97,10.49
2015,13.67,16.78,38.40,48.34,66.45,171.33,258.42,215.18,136.06,48.29,38.29,11.78
2016,9.78,11.63,27.45,30.67,76.57,157.66,338.71,247.73,176.23,53.24,13.00,9.34
2017,16.15,10.70,23.02,33.04,67.78,180.89,308.54,247.95,168.55,94.71,19.37,9.65
2018,8.52,13.73,17.61,35.16,69.73,171.91,302.42,273.47,133.61,46.93,17.69,10.33
2019,16.02,25.17,19.00,32.07,56.48,130.48,278.69,288.15,267.13,101.08,22.96,13.89
